Original,Rename_A,,Rename_A1,,,Rename_A2,,,Rename_A3,
N2,UM1,,N2,UM1a,,N2,UM1,,N2,UM1
N4,UM2,,,UM1b,,N4,UM2,,N4,UM2
N7,UM3,,N4,UM2a,,N7,UM3,,N7,UM3
N9,UM4,,,UM2b,,N9,UM4,,N9,UM4
N11,UM5,,N7,UM3a,,N11,UM5,,N11,UM5
N13,UM6,,,UM3b,,N13,UM6,,N13,UM6
N15,UM7,,N9,UM4a,,N15,UM7,,N15,UM7
N17,UM8,,,UM4b,,N17,UM8,,N17,UM8
N19,UM9,,N11,UM5a,,N19,UM9,,N19,UM9
N20,UM10,,,UM5b,,N20,UM10,,N20,UM10
N21,UM11,,N13,UM6,,N21,UM11,,N21,UM11
N23,UM12,,N15,UM7a,,N23,UM12,,N23,UM12
N25,UM13,,,UM7b,,N25,UM13,,N25,UM13
N30,UM14,,N17,UM8a,,N30,UM14,,N30,UM14
N31,UM15,,,UM8b,,N31,UM15,,N31,UM15
N32,UM16,,N19,UM9,,N32,UM16,,N32,UM16
R5,UR17,,N20,UM10,,R5,UR17,,R5,UR17
R6,UR18,,N21,UM11a,,R6,UR18,,R6,UR18
R7,UR19,,,UM11b,,R7,UR19,,R7,UR19
R8,UR20,,N23,UM12,,R8,UR20,,R8,UR20
R9,UR21,,N25,UM13,,R9,UR21,,R9,UR21
R10,UR22,,N30,UM14a,,R10,UR22,,R10,UR22
R11,UR23,,,UM14b,,R11,UR23,,R11,UR23
R12,UR24,,N31,UM15a,,R12,UR24,,R12,UR24
B431/14,EU25,,,UM15b,,B431/14,EU25,,B431/14,EU25
B896/13,EU26,,N32,UM16a,,B896/13,EU26,,B896/13,EU26
B1077/13,EU27,,,UM16b,,B1077/13,EU27,,B1077/13,EU27
B1140/10,EU28,,R5,UR17a,,B1140/10,EU28,,B1140/10,EU28
B1552/06,EU29,,,UR17b,,B1552/06,EU29,,B1552/06,EU29
B1887/11,EU30,,R6,UR18a,,B1887/11,EU30,,B1887/11,EU30
B1947/13,EU31,,,UR18b,,B1947/13,EU31,,B1947/13,EU31
B2470/09,EU32,,R7,UR19a,,B2470/09,EU32,,B2470/09,EU32
B263/12,EU33,,,UR19b,,B263/12,EU33,,B263/12,EU33
B448/15,EU34,,R8,UR20a,,B448/15,EU34,,B448/15,EU34
B467/13,EU35,,,UR20b,,B467/13,EU35,,B467/13,EU35
B592/12,EU36,,R9,UR21a,,B592/12,EU36,,B592/12,EU36
B709/12,EU37,,,UR21b,,B709/12,EU37,,B709/12,EU37
B779/11,EU38,,R10,UR22a,,B779/11,EU38,,B779/11,EU38
