gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>contig000001_124	122407	124062	-1	551	RelB antitoxin	9.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx
>contig000001_266	287666	287929	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>contig000001_313	329019	329378	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA
>contig000001_316	333376	334272	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT
>contig000001_33	29460	30932	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00014	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx
>contig000001_419	450897	451679	-1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>contig000001_459	493908	494300	-1	130	PIN domain	2.1e-07	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>contig000001_706	770914	771315	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>contig000003_5	4665	5138	-1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A
>contig000003_58	47463	48254	-1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>contig000005_2	771	1286	1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A
>contig000005_7	7013	7528	-1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A
>contig000015_18	14564	15124	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txxxx
>contig000018_8	6542	7756	-1	404	PIN domain	3.5e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx
>contig000020_1	2554	2823	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?Ax
>contig000021_6	4470	5030	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.8e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txxx
